State,POPULATION DENSITY,POPULATION,Abbreviation,Lockdown Date,RE-open date,Peak Daily Deaths Date,Length (in days) of lockdown,Time (in days) between Stay at home order and Peak Deaths,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,Population Mortality,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
South Carolina,153.9,"4,625,364",SC,"Tuesday, April 7, 2020","Monday, May 4, 2020","Monday, May 4, 2020",35,27,18795,229541,,521,1988,,,,,8682,A+,6/14/2020 15:00,6/14/2020 10:00,06/14 11:00,600,0.0129719520,1988,6/14/2020 10:00,255096,25555,229541,18795,45,840,5590,248336,248336,6430,248336,1,0,2288d8d2d597a00f9333d52d6ac1fc84787fc804,0,0,0,0,0,
South Dakota,10.7,"814,180",SD,N/A,,"Wednesday, May 6, 2020",0,,5898,59421,,87,539,,,,,4899,B,6/13/2020 18:00,6/13/2020 13:00,06/13 14:00,75,0.0092117222,539,6/13/2020 13:00,,,,5898,46,65,741,65319,65319,806,65319,0,8,de955b550da3648218379f2cab7e4aa715f34f3c,0,0,0,0,0,
Tennessee,153.9,"6,346,105",TN,"Thursday, April 2, 2020","Monday, April 27, 2020","Thursday, April 9, 2020",28,7,30432,584788,,,2087,,,,,19896,B,6/14/2020 15:00,6/14/2020 10:00,06/14 11:00,475,0.0074849061,2087,6/14/2020 10:00,615043,35423,579620,30255,47,891,12967,615220,615220,13858,615220,3,14,7181dc963d4f00f4578a2bcd3415b7c32522a1d8,0,0,0,0,0,
Texas,96.3,"25,145,561",TX,"Thursday, April 2, 2020","Friday, May 1, 2020","Friday, May 15, 2020",28,43,87854,1208129,,2287,,,,,,58341,B,6/14/2020 16:00,6/14/2020 11:00,06/14 12:00,1976,0.0078582458,,6/14/2020 11:00,1295983,,,,48,1843,33821,1295983,1295983,35664,1295983,19,0,d79f1ef3f4af12437b92393ede83e9d6c84d3db9,0,0,0,0,0,
Utah,33.6,"2,763,885",UT,N/A,,"Saturday, May 23, 2020",0,,14313,253400,,178,1028,,302,,134,8252,B,6/14/2020 10:57,6/14/2020 5:57,06/14 06:57,139,0.0050291528,1028,6/14/2020 5:57,,,,14313,49,332,4599,267713,267713,4931,267713,0,16,dc8cba457631e13a4e30cde43ac7808df594bc1f,0,0,0,0,0,
Virginia,202.6,"8,001,024",VA,"Monday, March 30, 2020","Friday, May 15, 2020","Thursday, May 28, 2020",72,39,54506,414494,302,958,8136,334,,155,,7178,A+,6/13/2020 17:00,6/13/2020 12:00,06/13 13:00,1546,0.0193225267,8136,6/13/2020 12:00,466597,,,52103,51,637,8370,469302,469000,9007,469000,5,46,9572a317c7b29aa80d617fbfcbb0600d5eabab4c,0,0,0,0,0,
Vermont,67.9,"625,741",VT,"Tuesday, March 24, 2020","Monday, April 20, 2020","Saturday, April 18, 2020",52,25,1127,49855,,26,,,,,,909,B,6/14/2020 0:00,6/13/2020 19:00,06/13 20:00,55,0.0087895791,,6/13/2020 19:00,,,,1127,50,2,1047,50982,50982,1049,50982,0,0,e93744ef32419888344b750da557650a92fdf5ab,0,0,0,0,0,
Washington,101.2,"6,724,540",WA,"Monday, March 23, 2020","Tuesday, May 5, 2020","Thursday, April 9, 2020",42,17,25538,424608,,229,3845,,,49,,,B,6/13/2020 2:59,6/12/2020 21:59,06/12 22:59,1213,0.0180384086,3845,6/12/2020 21:59,,,,25538,53,367,9917,450146,450146,10284,450146,9,28,220f228738ab382c41047468c09e85d96d9ead29,0,0,0,0,0,
Wisconsin,105,"5,686,986",WI,"Wednesday, March 25, 2020","Wednesday, April 29, 2020","Tuesday, June 2, 2020",62,22,22758,397366,184,289,3049,101,680,,,16558,A+,6/14/2020 16:00,6/14/2020 11:00,06/14 12:00,692,0.0121681326,3049,6/14/2020 11:00,,,,22758,55,240,8967,420308,420124,9207,420124,1,14,ba6b18a61dfea8124f4e7038a40a840b06f33630,0,0,0,0,0,
West Virginia,77.1,"1,852,994",WV,"Tuesday, March 24, 2020","Thursday, April 30, 2020","Thursday, April 23, 2020",41,30,2289,128910,,30,,8,,2,,1571,B,6/14/2020 10:00,6/14/2020 5:00,06/14 06:00,88,0.0047490710,,6/14/2020 5:00,,,,2213,54,30,3652,131199,131199,3682,131199,0,0,9be3f73d8b6f89e1fa680694daaac5eeb36949d0,0,0,0,0,0,
Wyoming,5.8,"563,626",WY,N/A,,"Saturday, April 25, 2020",0,,1060,32005,,5,93,,,,,834,C,6/14/2020 12:00,6/14/2020 7:00,06/14 08:00,18,0.0031936071,93,6/14/2020 7:00,32387,941,30446,841,56,10,0,33065,33065,10,33065,0,0,798c6ca988dd08019113ff4cf6a88d1dbc26c604,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cnbc.com/2020/04/30/coronavirus-states-lifting-stay-at-home-orders-reopening-businesses.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.littler.com/publication-press/publication/stay-top-stay-home-list-statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.usatoday.com/storytelling/coronavirus-reopening-america-map/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
